Counter,Time,Latitude,Longitude,Speed(km/h),Ax,Ay,Az,Gx,Gy,Gz,Yaw,Pitch,Roll,acceleration_magnitude,distance
1,1900-01-01 21:39:11.400,21.787453,39.067883,0.0,-22,108,16338,0,8,-1,0.01,-0.01,0.43,0.0,0.0
2,1900-01-01 21:39:21.100,21.787455,39.067886,0.0,-70,-80,16032,1,4,-1,0.01,-0.03,0.36,0.0,0.000381
3,1900-01-01 21:39:21.300,21.787455,39.067886,0.0,0,60,16192,2,17,-1,0.01,-0.03,0.3,16192.126111168971,0.0
4,1900-01-01 21:39:21.500,21.787455,39.067886,0.0,20,166,16504,-2,6,0,0.01,-0.02,0.27,16192.130681290835,0.0
5,1900-01-01 21:39:21.700,21.787455,39.067886,0.0,-76,-78,16014,-1,-6,0,0.01,-0.01,0.22,16386.109849503635,0.0
6,1900-01-01 21:39:21.900,21.787455,39.067886,0.0,-46,46,16386,0,16,0,0.01,-0.01,0.2,16504.09403754111,0.0
7,1900-01-01 21:39:22.100,21.787455,39.067886,0.0,42,146,16558,-1,1,-1,0.01,-0.02,0.16,16558.13491912661,0.0
8,1900-01-01 21:39:22.300,21.787455,39.067886,0.0,110,52,16744,-1,-10,0,0.01,-0.01,0.13,16558.13491912661,0.0
9,1900-01-01 21:39:22.500,21.787455,39.067886,0.0,104,76,16700,-2,-4,0,0.01,-0.01,0.12,16558.227682937566,0.0
10,1900-01-01 21:39:22.700,21.787455,39.067886,0.0,-12,-134,16320,1,-2,-1,0.01,-0.01,0.11,16568.209197134132,0.0
11,1900-01-01 21:39:22.800,21.787455,39.067886,0.0,34,132,16172,0,10,0,0.02,-0.01,0.1,16320.21237606913,0.0
12,1900-01-01 21:39:23.000,21.787455,39.067886,0.0,-6,86,16568,-1,3,0,0.02,-0.01,0.09,16320.234434590699,0.0
13,1900-01-01 21:39:23.100,21.787455,39.067886,0.0,36,-92,16196,0,3,-1,0.02,-0.02,0.08,16196.236229445407,0.0
