Counter,Time,Latitude,Longitude,Speed(km/h),Ax,Ay,Az,Gx,Gy,Gz,Yaw,Pitch,Roll,acceleration_magnitude,distance
1,1900-01-01 21:52:16.500,21.797155,39.075054,0.24,40,58,16838,0,-3,0,0.01,-0.01,0.4,0.0,0.0
2,1900-01-01 21:52:16.600,21.797157,39.075054,0.17,-22,-304,15728,-1,0,0,0.01,-0.01,0.36,0.0,0.000222
3,1900-01-01 21:52:16.700,21.797159,39.075054,0.17,44,-266,15924,-1,-2,0,0.01,-0.0,0.34,16072.645581857394,0.000222
4,1900-01-01 21:52:16.800,21.797161,39.075054,0.26,-34,-144,16644,1,0,1,0.01,-0.0,0.31,16074.216123966979,0.000222
5,1900-01-01 21:52:16.900,21.797161,39.075054,0.53,4,250,16072,-3,-1,-1,0.01,-0.0,0.29,16138.666735514431,0.0
6,1900-01-01 21:52:17.000,21.797163,39.075058,0.26,-28,-390,16138,-1,1,1,0.01,-0.0,0.26,16140.346588595921,0.000469
7,1900-01-01 21:52:17.100,21.797163,39.075058,0.24,-72,102,16928,0,-2,0,0.01,0.01,0.23,16140.32676249152,0.0
8,1900-01-01 21:52:17.200,21.797165,39.075058,0.27,46,298,16140,-2,0,-1,0.01,0.01,0.21,16612.336741109,0.000222
9,1900-01-01 21:52:17.300,21.797165,39.075058,0.12,-12,-86,16612,1,0,0,0.01,0.01,0.19,16613.02332509047,0.0
10,1900-01-01 21:52:17.400,21.797167,39.075058,0.02,-44,184,16930,-1,0,-1,0.01,0.01,0.17,16299.103533630308,0.000222
11,1900-01-01 21:52:17.500,21.797167,39.075058,0.23,52,388,16298,-3,-3,0,0.01,0.01,0.15,16612.18745379428,0.0
12,1900-01-01 21:52:17.600,21.797167,39.075058,0.26,90,-296,16020,0,1,-1,0.02,0.01,0.14,16753.010475732415,0.0
13,1900-01-01 21:52:17.700,21.797169,39.075058,0.28,-84,78,16752,2,-2,0,0.02,0.01,0.12,16299.594841590388,0.000222
14,1900-01-01 21:52:17.800,21.797169,39.075058,0.15,0,338,16998,-1,1,-1,0.02,0.01,0.1,16752.504409789002,0.0
15,1900-01-01 21:52:17.900,21.797169,39.075058,0.45,118,222,16098,-3,-1,0,0.02,0.01,0.1,16998.958438680882,0.0
16,1900-01-01 21:52:18.000,21.797169,39.075058,0.21,-30,130,17202,0,0,1,0.02,0.01,0.08,16999.452579421493,0.0
17,1900-01-01 21:52:18.100,21.797169,39.075058,0.32,-30,178,17076,1,-1,0,0.02,0.01,0.06,16946.937776483395,0.0
18,1900-01-01 21:52:18.200,21.797169,39.075058,0.13,-10,262,16946,-1,0,-1,0.02,0.01,0.06,16946.501585873117,0.0
19,1900-01-01 21:52:18.300,21.797169,39.075058,0.4,104,-226,15996,-1,0,0,0.02,0.01,0.06,16768.945822561418,0.0
20,1900-01-01 21:52:18.400,21.797169,39.075058,0.15,6,-266,16256,1,2,0,0.02,0.01,0.04,16257.573988759823,0.0
21,1900-01-01 21:52:18.500,21.797169,39.075058,0.43,10,270,16768,-2,0,1,0.02,-0.0,0.04,16257.583215226057,0.0
22,1900-01-01 21:52:18.600,21.797169,39.075058,0.36,64,-252,15886,-2,-2,0,0.03,0.01,0.03,16570.586712606164,0.0
23,1900-01-01 21:52:18.700,21.797171,39.075058,0.39,20,-138,16570,1,2,-1,0.03,0.01,0.02,16570.586712606164,0.000222
24,1900-01-01 21:52:18.800,21.797171,39.075058,0.38,28,166,16960,-2,1,0,0.03,0.01,0.02,15936.62210131118,0.0
25,1900-01-01 21:52:18.900,21.797171,39.075058,0.28,-76,-208,15936,1,4,0,0.03,0.01,0.03,16570.418099734237,0.0
26,1900-01-01 21:52:19.000,21.797171,39.075058,0.24,40,-116,15772,-1,-1,0,0.03,0.01,0.01,16404.013289436218,0.0
27,1900-01-01 21:52:19.100,21.797171,39.075058,0.35,-26,-6,17138,0,-3,0,0.03,0.02,0.0,16302.433437987103,0.0
28,1900-01-01 21:52:19.200,21.797171,39.075058,0.13,20,252,16404,-1,0,-1,0.03,0.02,0.0,16404.085100974087,0.0
29,1900-01-01 21:52:19.302,21.797173,39.075058,0.34,-140,-126,16302,1,-1,0,0.04,0.01,0.01,16404.02170200954,0.000222
30,1900-01-01 21:52:19.402,21.797173,39.075058,0.51,-64,-46,17086,2,2,-1,0.04,0.03,-0.01,16312.129719935409,0.0
31,1900-01-01 21:52:19.502,21.797173,39.075058,0.18,72,174,16312,-3,-1,-1,0.04,0.01,-0.01,16302.590100962485,0.0
32,1900-01-01 21:52:19.602,21.797173,39.075058,0.33,-46,-140,15924,1,0,0,0.05,0.01,-0.01,16312.129719935409,0.0
33,1900-01-01 21:52:19.702,21.797165,39.075062,0.0,-58,-136,16076,0,2,0,0.05,0.02,-0.01,16312.952032051096,0.000981
34,1900-01-01 21:52:19.802,21.797163,39.075062,0.0,76,224,16616,-4,-3,0,0.05,0.02,-0.02,16502.485994540337,0.000222
35,1900-01-01 21:52:19.902,21.797159,39.075062,0.0,28,260,16558,-1,12,-1,0.06,0.0,-0.03,16503.595971787483,0.000445
36,1900-01-01 21:52:20.002,21.797159,39.075062,0.0,-72,-118,16502,1,-5,1,0.06,0.01,-0.03,16503.543983035885,0.0
37,1900-01-01 21:52:20.102,21.797159,39.075062,0.0,-50,322,16064,-4,-5,0,0.05,0.01,-0.03,16206.419592248005,0.0
38,1900-01-01 21:52:20.202,21.797159,39.075062,0.0,60,108,16206,-2,-1,-1,0.06,0.01,-0.02,16064.493642813644,0.0
39,1900-01-01 21:52:20.300,21.797159,39.075062,0.0,-44,-154,15790,-1,0,0,0.06,0.01,-0.03,16064.17990437109,0.0
40,1900-01-01 21:52:20.400,21.797159,39.075062,0.0,2,-152,15864,0,0,0,0.06,0.01,-0.04,16206.118721026327,0.0
41,1900-01-01 21:52:20.500,21.797159,39.075062,0.0,-48,-62,16644,2,-2,-1,0.06,0.01,-0.04,16088.762910802061,0.0
42,1900-01-01 21:52:20.600,21.797159,39.075062,0.0,30,330,16272,-2,0,1,0.06,0.01,-0.04,16272.710038589146,0.0
43,1900-01-01 21:52:20.700,21.797157,39.075062,0.0,-38,-168,16088,-2,6,-1,0.06,0.01,-0.03,16644.123167052087,0.000222
44,1900-01-01 21:52:20.800,21.797159,39.075062,0.0,16,-158,16910,2,-1,-2,0.06,0.02,-0.04,16370.233718551486,0.000222
45,1900-01-01 21:52:20.900,21.797159,39.075062,0.0,22,86,17086,0,-2,0,0.06,0.0,-0.06,16370.77029342236,0.0
46,1900-01-01 21:52:21.000,21.797159,39.075062,0.0,14,436,16370,-3,1,0,0.06,0.03,-0.03,16370.77029342236,0.0
47,1900-01-01 21:52:21.100,21.797159,39.075062,0.0,152,-248,15772,-3,0,-1,0.06,0.01,-0.02,16370.24068240904,0.0
48,1900-01-01 21:52:21.200,21.797159,39.075062,0.0,-100,-304,16152,1,0,1,0.07,0.01,-0.06,16215.244555664278,0.0
